Master Timetable,,,,
L.D. College Of Engineering-028,,,,
2024-2025,,,,
Computer Engineering-07,,,,
DAY,TIME,CST,TJR,RJ
MONDAY,10:30-11:30,BE-7-A_A2-AI-LAB1,BE-5-B-PE-241,BE-7-B-IS-218
MONDAY,11:30-12:30,BE-7-A_A2-AI-LAB1,,              
MONDAY,RECESS,RECESS,RECESS,RECESS
MONDAY,01:00-02:00,,,BE-7-B_B3-DF-LAB8
MONDAY,02:00-03:00,,,BE-7-B_B3-DF-LAB8
MONDAY,RECESS,RECESS,RECESS,RECESS
MONDAY,03:15-04:15,,,
MONDAY,04:15-05:15,,,
MONDAY,05:15-06:15,,,
,,,,
TUESDAY,09:30-10:30,ME-3-CC-229,,
TUESDAY,10:30-11:30,BE-7-A_A4-AI-LAB2,ME-1-ADS-229,
TUESDAY,11:30-12:30,BE-7-A_A4-AI-LAB2,,
TUESDAY,RECESS,RECESS,RECESS,RECESS
TUESDAY,01:00-02:00,,,BE-7-B-IS-218
TUESDAY,02:00-03:00,BE-7-B-AI-228,,
TUESDAY,RECESS,RECESS,RECESS,RECESS
TUESDAY,03:15-04:15,,,BE-7-B-DF-218
TUESDAY,04:15-05:15,,,
TUESDAY,05:15-06:15,,,
,,,,
WEDNESDAY,09:30-10:30,ME-3-CC-229,,
WEDNESDAY,10:30-11:30,,,BE-5-C_C3-CS-LAB5
WEDNESDAY,11:30-12:30,,,BE-5-C_C3-CS-LAB5
WEDNESDAY,RECESS,RECESS,RECESS,RECESS
WEDNESDAY,01:00-02:00,,,BE-7-B_B2-DF-LAB5
WEDNESDAY,02:00-03:00,,,BE-7-B_B2-DF-LAB5
WEDNESDAY,RECESS,RECESS,RECESS,RECESS
WEDNESDAY,03:15-04:15,,,
WEDNESDAY,04:15-05:15,,,BE-5-C-CS-237
WEDNESDAY,05:15-06:15,,,
,,,,
THURSDAY,10:30-11:30,,BE-5-A-PE-237,BE-7-A_A2-DF-LAB5
THURSDAY,11:30-12:30,,,BE-7-A_A2-DF-LAB5
THURSDAY,RECESS,RECESS,RECESS,RECESS
THURSDAY,01:00-02:00,BE-7-B_B3-AI-LAB2,,
THURSDAY,02:00-03:00,BE-7-B_B3-AI-LAB2,,BE-7-A-DF-241
THURSDAY,RECESS,RECESS,RECESS,RECESS
THURSDAY,03:15-04:15,BE-7-B-CC-218,,
THURSDAY,04:15-05:15,BE-7-A-CC-241,,BE-7-B-IS-218
THURSDAY,05:15-06:15,,,
,,,,
FRIDAY,10:30-11:30,BE-7-B-CC-218,BE-5-C-PE-237,
FRIDAY,11:30-12:30,BE-7-A-AI-241,,BE-5-C-CS-237
FRIDAY,RECESS,RECESS,RECESS,RECESS
FRIDAY,01:00-02:00,BE-7-B_B1-AI-LAB2,,BE-7-B_B5-IS-LAB5
FRIDAY,02:00-03:00,BE-7-B_B1-AI-LAB2,,BE-7-B_B5-IS-LAB5
FRIDAY,RECESS,RECESS,RECESS,RECESS
FRIDAY,03:15-04:15,,,
FRIDAY,04:15-05:15,,,
FRIDAY,05:15-06:15,,,
,,,,
SATURDAY,10:30-11:30,,,BE-5-C_C1-DE-LAB1
SATURDAY,11:30-12:30,,,BE-5-C_C1-DE-LAB1
SATURDAY,RECESS,RECESS,RECESS,RECESS
SATURDAY,01:00-02:00,,,BE-5-C_C1-DE-LAB1
SATURDAY,02:00-03:00,,,BE-5-C_C1-DE-LAB1
SATURDAY,RECESS,RECESS,RECESS,RECESS
SATURDAY,03:15-04:15,,,
SATURDAY,04:15-05:15,,,
SATURDAY,05:15-06:15,,,
